"code";"description"
"A00";"Colera"
"A000";"Colera debido a Vibrio cholerae 01, biotipo cholerae"
"A001";"Colera debido a Vibrio cholerae 01, biotipo el Tor"
"A009";"Colera, no especificado"
"A01";"Fiebres Tifoidea Y Paratifoidea"
"A010";"Fiebre tifoidea"
"A011";"Fiebre paratifoidea A"
"A012";"Fiebre paratifoidea B"
"A013";"Fiebre paratifoidea C"
"A014";"Fiebre paratifoidea, no especificada"
"A02";"Otras Infecciones Debidas Salmonella"
"A020";"Enteritis debida a Salmonella"
"A021";"Sepsis debida a Salmonella"
"A022";"Infecciones localizadas debidas a Salmonella"
"A028";"Otras infecciones especificadas como debidas a Salmonella"
"A029";"Infeccion debida a Salmonella, no especificada"
"A03";"Shigelosis"
"A030";"Shigelosis debida a Shigella dysenteriae"
"A031";"Shigelosis debida a Shigella flexneri"
"A032";"Shigelosis debida a Shigella boydii"
"A033";"Shigelosis debida a Shigella sonnei"
"A038";"Otras shigelosis"
"A039";"Shigelosis de tipo no especificado"
"A04";"Otras Infecciones Intestinales Bacterianas"
"A040";"Infeccion debida a Escherichia coli enteropatogena"
"A041";"Infeccion debida a Escherichia coli enterotoxigena"
"A042";"Infeccion debida a Escherichia coli enteroinvasiva"
"A043";"Infeccion debida a Escherichia coli enterohemorragica"
"A044";"Otras infecciones intestinales debidas a Escherichia coli"
"A045";"Enteritis debida a Campylobacter"
"A046";"Enteritis debida a Yersinia enterocolitica"
"A047";"Enterocolitis debida a Clostridium difficile"
"A048";"Otras infecciones intestinales bacterianas especificadas"
"A049";"Infeccion intestinal bacteriana, no especificada"
"A05";"Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte"
"A050";"Intoxicacion alimentaria estafilococica"
"A051";"Botulismo"
"A052";"Intoxicacion alimentaria debida a Clostridium perfringens [Clostridium welchii]"
"A053";"Intoxicacion alimentaria debida a Vibrio parahaemolyticus"
"A054";"Intoxicacion alimentaria debida a Bacillus cereus"
"A058";"Otras intoxicaciones alimentarias debidas a bacterias especificadas"
"A059";"Intoxicacion alimentaria bacteriana, no especificada"
"A06";"Amebiasis"
"A060";"Disenteria amebiana aguda"
"A061";"Amebiasis intestinal cronica"
"A062";"Colitis amebiana no disenterica"
"A063";"Ameboma intestinal"
"A064";"Absceso amebiano del higado"
"A065";"Absceso amebiano del pulmon"
"A066";"Absceso amebiano del cerebro"
"A067";"Amebiasis cutanea"
"A068";"Infeccion amebiana de otras localizaciones"
"A069";"Amebiasis, no especificada"
"A07";"Otras Enfermedades Intestinales Debidas A Protozoarios"
"A070";"Balantidiasis"
"A071";"Giardiasis [lambliasis]"
"A072";"Criptosporidiosis"
"A073";"Isosporiasis"
"A078";"Otras enfermedades intestinales especificadas debidas a protozoarios"
"A079";"Enfermedad intestinal debida a protozoarios, no especificada"
"A08";"Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados"
"A080";"Enteritis debida a rotavirus"
"A081";"Gastroenteropatia aguda debida al agente de Norwalk"
"A082";"Enteritis debida a adenovirus"
"A083";"Otras enteritis virales"
"A084";"Infeccion intestinal viral, sin otra especificacion"
"A085";"Otras infecciones intestinales especificadas"
"A09";"Otras gastroenteritis y colitis de origen infeccioso y no especificado"
"A090";"Otras gastroenteritis y colitis de origen infeccioso"
"A099";"Gastroenteritis y colitis de origen no especificado"
"A15";"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente"
"A150";"Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo"
"A151";"Tuberculosis del pulmon, confirmada unicamente por cultivo"
"A152";"Tuberculosis del pulmon, confirmada histologicamente"
"A153";"Tuberculosis del pulmon, confirmada por medios no especificados"
"A154";"Tuberculosis de ganglios linfaticos intratoracicos, confirmada bacteriologica e histologicamente"
"A155";"Tuberculosis de laringe, traquea y bronquios, confirmada bacteriologica e histologicamente"
"A156";"Pleuresia tuberculosa, confirmada bacteriologica e histologicamente"
"A157";"Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente"
"A158";"Otras tuberculosis respiratorias, confirmadas bacteriologica e histologicamente"
"A159";"Tuberculosis respiratoria no especificada, confirmada bacteriologica e histologicamente"
"A16";"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente"
"A160";"Tuberculosis del pulmon, con examen bacteriologico e histologico negativos"
"A161";"Tuberculosis de pulmon, sin examen bacteriologico e histologico"
"A162";"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica"
"A163";"Tuberculosis de ganglios linfaticos intratoracicos, sin mencion de confirmacion bacteriologica o histologica"
"A164";"Tuberculosis de laringe, traquea y bronquios, sin mencion de confirmacion bacteriologica o histologica"
"A165";"Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica"
"A167";"Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica o histologica"
"A168";"Otras tuberculosis respiratorias, sin mencion de confirmacion"
"A169";"Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica"
"A17";"Tuberculosis Del Sistema Nervioso"
"A170";"Meningitis tuberculosa"
"A171";"Tuberculoma meningeo"
"A178";"Otras tuberculosis del sistema nervioso"
"A179";"Tuberculosis del sistema nervioso, no especificada"
"A18";"Tuberculosis De Otros Organos"
"A180";"Tuberculosis de huesos y articulaciones"
"A181";"Tuberculosis del aparato genitourinario"
"A182";"Linfadenopatia periferica tuberculosa"
"A183";"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos"
"A184";"Tuberculosis de la piel y el tejido subcutaneo"
"A185";"Tuberculosis del ojo"
"A186";"Tuberculosis del oido"
"A187";"Tuberculosis de glandulas suprarrenales"
"A188";"Tuberculosis de otros organos especificados"
"A19";"Tuberculosis Miliar"
"A190";"Tuberculosis miliar aguda de un solo sitio especificado"
"A191";"Tuberculosis miliar aguda de sitios multiples"
"A192";"Tuberculosis miliar aguda, no especificada"
"A198";"Otras tuberculosis miliares"
"A199";"Tuberculosis miliar, sin otra especificacion"
"A20";"Peste"
"A200";"Peste bubonica"
"A201";"Peste celulocutanea"
"A202";"Peste neumonica"
"A203";"Meningitis por peste"
"A207";"Peste septicemica"
"A208";"Otras formas de peste"
"A209";"Peste, no especificada"
"A21";"Tularemia"
