"code";"description"
"010101";"PUNCIÓN CISTERNAL, VÍA LATERAL"
"010102";"PUNCIÓN CISTERNAL, VÍA MEDIAL"
"010103";"PUNCIÓN CISTERNAL"
"010201";"PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE CATÉTER PREVIAMENTE IMPLANTADO"
"010202";"PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR POR TREPANACIÓN (SIN CATÉTER)"
"010203";"PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE UN RESERVORIO"
"010204";"PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR, VÍA TRANSFONTANELAR"
"010205";"PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR"
"010901";"PUNCIÓN SUBDURAL"
"010902";"OTRA PUNCIÓN CRANEAL "
"011101";"BIOPSIA ÓSEA  EN CRÁNEO POR CRANEOTOMÍA"
"011102";"BIOPSIA ÓSEA  EN CRÁNEO POR CRANIECTOMÍA"
"011103";"BIOPSIA DE CRÁNEO"
"011201";"BIOPSIA DE MENINGE, POR CRANEOTOMÍA"
"011202";"BIOPSIA DE MENINGE CEREBRAL "
"011301";"BIOPSIA CERRADA (PERCUTÁNEA) (AGUJA) DE CEREBRO"
"011302";"BIOPSIA ABIERTA (CRANEOTOMÍA) DE CEREBRO"
"011303";"BIOPSIA DE CEREBRO POR TREPANACIÓN"
"011306";"BIOPSIA DE CEREBRO SUPERFICIAL POR ESTEREOTAXIA"
"011307";"BIOPSIA DE CEREBRO PROFUNDA POR ESTEREOTAXIA"
"012101";"CRANEALIZACIÓN DE SENO FRONTAL"
"012102";"INCISIÓN Y DRENAJE DE SENO FRONTAL "
"012103";"DESFUNCIONALIZACIÓN DE SENO FRONTAL"
"012201";"RETIRO O SUSTITUCIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO"
"012202";"RETIRO O SUSTITUCIÓN DE ELECTRODO  EPIDURAL"
"012203";"RETIRO O SUSTITUCIÓN DE ELECTRODO SUBDURAL"
"012204";"RETIRO O SUSTITUCIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFÉRICO"
"012205";"RETIRO O SUSTITUCIÓN DE NEUROESTIMULADOR INTRACRANEAL"
"012206";"REVISIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO"
"012207";"REVISIÓN DE ELECTRODO  EPIDURAL"
"012208";"REVISIÓN DE ELECTRODO SUBDURAL"
"012209";"REVISIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFERICO"
"012210";"REVISIÓN DE NEUROESTIMULADOR"
"012300";"REAPERTURA DE CRANEOTOMÍA SOD"
"012401";"DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMÍA"
"012402";"DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMÍA"
"012403";"CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA)"
"012410";"EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMÍA"
"012501";"SECUESTRECTOMÍA DE CRÁNEO, POR CRANIECTOMÍA"
"012502";"DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMÍA"
"012503";"DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMÍA"
"012505";"CRANIECTOMÍA DESCOMPRESIVA BIFRONTAL"
"012506";"CRANIECTOMÍA DESCOMPRESIVA HEMISFÉRICA"
"012507";"CRANIECTOMÍA DESCOMPRESIVA EN FOSA POSTERIOR"
"013101";"DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMÍA"
"013102";"DRENAJE DE ESPACIO SUBDURAL, POR TREPANACIÓN"
"013103";"DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMÍA"
"013104";"DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO"
"013105";"DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACIÓN CISTO PERITONEAL"
"013106";"DRENAJE DE ESPACIO SUBDURAL, POR DERIVACIÓN SUBDURO PERITONEAL"
"013107";"INCISIÓN DE MENINGES CEREBRALES "
"013110";"DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS"
"013201";"SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACIÓN POR ESTEREOTAXIA"
"013202";"SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES), POR CRANEOTOMÍA"
"013204";"SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VÍA ENDOSCÓPICA"
"013205";"SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA"
"013206";"SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA"
"013207";"SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA"
"013208";"SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA"
"013209";"SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) POR CRANEOTOMÍA"
"013210";"SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) VÍA ENDOSCÓPICA"
